GCN_ID,Name,RA,DEC,Error,Discovery_UTC,Facility,Trigger_num,Notice_date
GCN_EinsteinProbe_01709131576,GRB 250215A,156.34,-27.70,0.05,2025-02-15 02:32:03.50,EinsteinProbe,01709131576,2025-02-15 11:36:09
GCN_FermiGBM_761279519,GRB 250215B,157.58,-34.5,2.71,2025-02-15 02:31:54.94,FermiGBM,761279519,2025-02-15 02:41:21
GCN_FermiGBM_761430048,GRB 250216A,212.41,60.24,12.69,2025-02-16 20:20:43.87,FermiGBM,761430048,2025-02-16 20:30:08
GCN_EinsteinProbe_01709131775,GRB 250217A,80.75,-8.83,0.05,2025-02-17 06:56:23.35,EinsteinProbe,01709131775,2025-02-17 15:58:26
GCN_FermiGBM_761471250,GRB 250217B,154.95,1.89,11.28,2025-02-17 07:47:25.62,FermiGBM,761471250,2025-02-17 07:56:34
GCN_FermiGBM_761484444,GRB 250217C,231.34,34.87,6.02,2025-02-17 11:27:19.59,FermiGBM,761484444,2025-02-17 11:34:36
GCN_FermiGBM_761529286,GRB 250217D,131.57,32.88,5.5,2025-02-17 23:54:41.80,FermiGBM,761529286,2025-02-18 00:04:01
GCN_CALET_1423925404,GRB 250218A,210.48,37.01,,2025-02-18 14:50:26,CALET,1423925404,2025-02-18 14:51:25
GCN_CALET_1423942226,GRB 250218A,217.25,41.46,,2025-02-18 19:30:47,CALET,1423942226,2025-02-18 19:31:40
GCN_CALET_1424008892,GRB 250219A,202.52,34.87,,2025-02-19 14:01:55,CALET,1424008892,2025-02-19 14:02:45
GCN_CALET_1424020138,GRB 250219A,208.79,39.31,,2025-02-19 17:09:21,CALET,1424020138,2025-02-19 17:10:26
GCN_CALET_1424025725,GRB 250219A,209.46,39.87,,2025-02-19 18:42:28,CALET,1424025725,2025-02-19 18:43:28
GCN_EinsteinProbe_11900104449,GRB 250220A,113.4,39.795,0.047,2025-02-20 02:11:58.850000,EinsteinProbe,11900104449,2025-02-20 19:44:54.417661
GCN_CALET_1424098051,GRB 250220B,198.28,35.49,,2025-02-20 14:47:55,CALET,1424098051,2025-02-20 14:49:25
GCN_CALET_1424121653,GRB 250220B,308.25,35.5,,2025-02-20 21:21:18,CALET,1424121653,2025-02-20 21:21:45
GCN_FermiGBM_761782146,GRB 250220B,194.55,-60.86,1.0,2025-02-20 22:09:01,FermiGBM,761782146,2025-02-20 22:18:18
GCN_CALET_1424127125,GRB 250220B,301.73,39.42,,2025-02-20 22:52:31,CALET,1424127125,2025-02-20 22:53:54
GCN_FermiGBM_761788229,GRB 250220B,39.27,45.56,1.0,2025-02-20 23:50:24,FermiGBM,761788229,2025-02-20 23:59:46
GCN_SwiftBAT_1290305,GRB 250221A,59.48,-15.14,0.05,2025-02-21 03:34:37,SwiftBAT,1290305,2025-02-21 03:35:04
GCN_SwiftXRT_1290305,GRB 250221A,59.46,-15.13,0.0,2025-02-21 03:36:50,SwiftXRT,1290305,2025-02-21 03:40:32
GCN_SwiftUVOT_1290305,GRB 250221A,59.46,-15.13,0.0,2025-02-21 03:36:41,SwiftUVOT,1290305,2025-02-21 03:44:21
GCN_SwiftXRT_1290305,GRB 250221A,59.46,-15.13,0.0,2025-02-21 03:36:50,SwiftXRT,1290305,2025-02-21 03:49:30
GCN_CALET_1424183649,GRB 250221B,337.16,2.39,,2025-02-21 14:34:35,CALET,1424183649,2025-02-21 14:35:58
GCN_FermiGBM_762881342,GRB 250305A,223.71,-2.95,5.0,2025-03-05 15:28:57,FermiGBM,762881342,2025-03-05 15:38:17
GCN_SwiftBAT_1293340,GRB 250306A,354.73,-47.99,0.05,2025-03-06 16:30:08,SwiftBAT,1293340,2025-03-06 16:43:33
GCN_EinsteinProbe_01709132387,GRB 250307A,215.645,-46.399,0.05103547,2025-03-07 18:51:20.301000,EinsteinProbe,01709132387,2025-03-08 03:52:25.841496
GCN_EinsteinProbe_01709132392,GRB 250308A,210.598,18.496999999,0.05178494,2025-03-08 17:03:57.799000,EinsteinProbe,01709132392,2025-03-09 11:58:11.185873
GCN_IceCubeGOLD_1288692,GRB 250309A,210.8,-10.44,0.51,2025-03-09 07:36:04,IceCubeGOLD,1288692,2025-03-09 07:37:37
GCN_FermiGBM_763198715,GRB 250309B,212.08,-13.54,2.52,2025-03-09 07:38:30,FermiGBM,763198715,2025-03-09 07:38:48
GCN_FermiGBM_763198715,GRB 250309C,212.83,-14.19,2.09,2025-03-09 07:38:30,FermiGBM,763198715,2025-03-09 07:39:19
GCN_FermiGBM_763198715,GRB 250309D,211.33,-11.46,1.6,2025-03-09 07:38:30,FermiGBM,763198715,2025-03-09 07:39:29
GCN_FermiGBM_763199966,GRB 250309E,7.79,18.23,11.18,2025-03-09 07:59:21,FermiGBM,763199966,2025-03-09 08:00:09
GCN_FermiGBM_763199966,GRB 250309F,352.96,20.39,9.77,2025-03-09 07:59:21,FermiGBM,763199966,2025-03-09 08:01:24
GCN_IceCubeGOLD_1288692,GRB 250309G,211.07,-10.73,0.29,2025-03-09 07:36:04,IceCubeGOLD,1288692,2025-03-09 11:50:06
GCN_EinsteinProbe_01709132425,GRB 250310A,196.923,11.968999999,0.05040428,2025-03-10 18:42:15.649000,EinsteinProbe,01709132425,2025-03-11 03:54:24.917295
GCN_EinsteinProbe_01799132450,GRB 250311A,224.69,-2.85,0.05,2025-03-11 01:56:19,EinsteinProbe,01799132450,2025-03-11 20:39:55
GCN_FermiGBM_765469191,GRB 250404A,126.58,36.68,3.71,2025-04-04 14:19:46+00:00,FermiGBM,765469191,2025-04-04 14:20:34+00:00
GCN_FermiGBM_765469191,GRB 250404B,124.57,35.33,2.31,2025-04-04 14:19:46+00:00,FermiGBM,765469191,2025-04-04 14:21:24+00:00
GCN_FermiGBM_765469191,GRB 250404C,124.73,35.34,2.24,2025-04-04 14:19:46+00:00,FermiGBM,765469191,2025-04-04 14:21:47+00:00
GCN_FermiGBM_765469191,GRB 250404D,124.78,35.35,2.1,2025-04-04 14:19:46+00:00,FermiGBM,765469191,2025-04-04 14:21:57+00:00
GCN_EinsteinProbe_01709133918,EP 250404a,125.06,35.51,0.05,2025-04-04 14:19:59+00:00,EinsteinProbe,01709133918,2025-04-04 23:20:36+00:00
GCN_FermiGBM_765643096,GRB 250406A,5.13,-55.88,9.54,2025-04-06 14:38:11+00:00,FermiGBM,765643096,2025-04-06 14:38:49+00:00
GCN_FermiGBM_765643096,GRB 250406B,5.22,-64.26,3.99,2025-04-06 14:38:11+00:00,FermiGBM,765643096,2025-04-06 14:39:29+00:00
GCN_FermiGBM_765643096,GRB 250406C,6.13,-59.39,1.65,2025-04-06 14:38:11+00:00,FermiGBM,765643096,2025-04-06 14:39:40+00:00
GCN_FermiGBM_765663719,GRB 250406D,297.17,36.44,12.85,2025-04-06 20:21:54+00:00,FermiGBM,765663719,2025-04-06 20:22:13+00:00
GCN_FermiGBM_765663719,GRB 250406E,299.79,36.12,7.99,2025-04-06 20:21:54+00:00,FermiGBM,765663719,2025-04-06 20:23:18+00:00
GCN_FermiGBM_765733706,GRB 250407A,106.87,40.4,1.0,2025-04-07 15:48:21+00:00,FermiGBM,765733706,2025-04-07 15:48:39+00:00
GCN_FermiGBM_765733706,GRB 250407B,106.81,40.29,1.0,2025-04-07 15:48:21+00:00,FermiGBM,765733706,2025-04-07 15:49:07+00:00
GCN_EinsteinProbe_11916648441,EP 250408a,134.81,-38.96,0.04,2025-04-08 23:27:22,EinsteinProbe,11916648441,2025-04-08 16:39:10
GCN_FermiGBM_765828229,GRB 250408A,359.18,57.67,4.01,2025-04-08 18:03:44,FermiGBM,765828229,2025-04-08 18:05:22
GCN_FermiGBM_765828229,GRB 250408B,5.78,58.55,3.64,2025-04-08 18:03:44,FermiGBM,765828229,2025-04-08 18:05:32
GCN_FermiGBM_765828229,GRB 250408C,7.88,58.27,2.62,2025-04-08 18:03:44,FermiGBM,765828229,2025-04-08 18:05:43
GCN_FermiGBM_765828229,GRB 250408D,5.68,59.8,2.2,2025-04-08 18:03:44,FermiGBM,765828229,2025-04-08 18:05:54
GCN_FermiGBM_765828229,GRB 250408E,7.65,59.47,1.5,2025-04-08 18:03:44,FermiGBM,765828229,2025-04-08 18:06:05
GCN_FermiGBM_766088234,GRB 250411A,246.65,-14.32,8.08,2025-04-11 18:17:09,FermiGBM,766088234,2025-04-11 18:17:57
GCN_FermiGBM_766088234,GRB 250411B,250.51,-15.67,5.39,2025-04-11 18:17:09,FermiGBM,766088234,2025-04-11 18:18:38
GCN_FermiGBM_766088234,GRB 250411C,251.18,-16.87,4.1,2025-04-11 18:17:09,FermiGBM,766088234,2025-04-11 18:18:49
GCN_FermiGBM_766088234,GRB 250411D,246.69,-14.18,3.13,2025-04-11 18:17:09,FermiGBM,766088234,2025-04-11 18:19:10
GCN_FermiGBM_766173972,GRB 250412A,9.61,-81.71,3.95,2025-04-12 18:06:07,FermiGBM,766173972,2025-04-12 18:07:17
GCN_FermiGBM_766474855,GRB 250416A,239.63,-75.6,39.41,2025-04-16 05:40:50,FermiGBM,766474855,2025-04-16 05:41:09
GCN_FermiGBM_766474855,GRB 250416B,113.29,77.99,4.74,2025-04-16 05:40:50,FermiGBM,766474855,2025-04-16 05:41:54
GCN_FermiGBM_766474855,GRB 250416C,113.25,77.95,4.22,2025-04-16 05:40:50,FermiGBM,766474855,2025-04-16 05:42:04
GCN_FermiGBM_766474855,GRB 250416D,206.99,-79.17,2.55,2025-04-16 05:40:50,FermiGBM,766474855,2025-04-16 05:42:14
GCN_FermiGBM_766474855,GRB 250416E,207.63,-79.14,1.0,2025-04-16 05:40:50,FermiGBM,766474855,2025-04-16 05:42:35
GCN_FermiGBM_766505186,GRB 250416F,333.25,67.86,2.57,2025-04-16 14:06:21,FermiGBM,766505186,2025-04-16 14:06:59
GCN_FermiGBM_766505186,GRB 250416G,333.34,67.82,1.69,2025-04-16 14:06:21,FermiGBM,766505186,2025-04-16 14:07:46
GCN_FermiGBM_766505186,GRB 250416H,330.43,68.75,1.5,2025-04-16 14:06:21,FermiGBM,766505186,2025-04-16 14:07:57
